"","image","root_name","root","length","surface","volume","convexhull","diameter","root_order","root_ontology","parent_name","parent","insertion_position","insertion_angle","n_child","child_density","first_child","insertion_first_child","last_child","insertion_last_child"
"3","TRcd_PL10_DAT18.xml","root_3","bbe47096-0e56-40fa-9ac3-e4e70e1d781a",0.309278,0.0616562,0.0024733,0,0.108235,1,"Lateral root","root_0","575606e5-f2d8-4d1a-ae6b-6223d10b8e3c",7.3478,58.4142,0,0,"",NA,"",NA
"4","TRcd_PL10_DAT18.xml","root_3","12e789b0-d4e4-4010-b28f-0d45f19dcc30",0.170602,0.0422275,0.00149933,0,0.101284,1,"Lateral root","root_1","c80af662-c2cc-48b1-a6f1-56d0a83e25bf",5.42239,72.6497,0,0,"",NA,"",NA
"5","TRcd_PL10_DAT18.xml","root_3","f1107de3-a014-4433-9676-b5fea3618a66",0.154823,0.029858,0.000965216,0,0.10205,1,"Lateral root","root_1","c80af662-c2cc-48b1-a6f1-56d0a83e25bf",4.60155,59.0887,0,0,"",NA,"",NA
"6","TRcd_PL10_DAT18.xml","root_10","d8362e2c-8631-44fd-b00d-e9a5e4ac6791",0.365034,0.0320835,0.000635426,0,0.0932431,1,"Lateral root","root_0","575606e5-f2d8-4d1a-ae6b-6223d10b8e3c",9.01936,28.5951,0,0,"",NA,"",NA
"7","TRcd_PL10_DAT18.xml","root_8","bbc2cb5d-5b2d-44d7-b7cf-8c7492bb69c3",0.288805,0.0794001,0.00279147,0,0.11363,1,"Lateral root","root_0","575606e5-f2d8-4d1a-ae6b-6223d10b8e3c",10.211,59.205,0,0,"",NA,"",NA
"8","TRcd_PL10_DAT18.xml","root_7","32c9ab6d-acd5-487d-81fa-b0bf74bb37d0",0.447141,0.132627,0.00495548,0,0.131792,1,"Lateral root","root_0","575606e5-f2d8-4d1a-ae6b-6223d10b8e3c",9.54319,45.0612,0,0,"",NA,"",NA
"14","TRcd_PL1_DAT18.xml","root_6","76f5784e-17c5-435f-8701-82857eabc0e0",0.654945,0.163228,0.00601101,0,0.143175,1,"Lateral root","root_3","4a3b283d-5903-44fb-9b55-55d3a15af8d4",6.93839,42.1872,0,0,"",NA,"",NA
"15","TRcd_PL1_DAT18.xml","root_6","a51d93d6-6cae-4279-ab0a-8fb238138696",0.222587,0.0526972,0.00178713,0,0.117758,1,"Lateral root","root_3","4a3b283d-5903-44fb-9b55-55d3a15af8d4",3.61475,54.2622,0,0,"",NA,"",NA
"16","TRcd_PL1_DAT18.xml","root_6","478aa8e6-5f29-4465-b51d-bba9e2a7482f",0.328241,0.10172,0.00309394,0,0.113073,1,"Lateral root","root_3","4a3b283d-5903-44fb-9b55-55d3a15af8d4",4.84591,56.9002,0,0,"",NA,"",NA
"17","TRcd_PL1_DAT18.xml","root_6","44d100ae-0c5f-4301-a49f-24f6ecf3f56d",0.33089,0.097055,0.00321209,0,0.117174,1,"Lateral root","root_3","4a3b283d-5903-44fb-9b55-55d3a15af8d4",4.32441,41.9527,0,0,"",NA,"",NA
