"Img","source","root","root_name","mark_type","position","diameter","angle","x","y","root_order","root_ontology","value"
"TRcd_PL10_DAT18.xml","TRcd_PL10_DAT18.xml","c80af662-c2cc-48b1-a6f1-56d0a83e25bf","root_1","Origin",0,0,0,15.269,16.3168,0,"Primary root","null"
"null","null","c80af662-c2cc-48b1-a6f1-56d0a83e25bf","root_1","Number",1.6035,0.154032,4.6825,14.4103,17.4244,0,"Primary root","1"
"null","null","c80af662-c2cc-48b1-a6f1-56d0a83e25bf","root_1","Number",1.88621,0.147797,4.71726,14.4103,17.7123,0,"Primary root","2"
"null","null","c80af662-c2cc-48b1-a6f1-56d0a83e25bf","root_1","Number",2.54717,0.169941,4.71177,14.4103,18.3727,0,"Primary root","3"
"null","null","c80af662-c2cc-48b1-a6f1-56d0a83e25bf","root_1","Number",3.34907,0.186736,4.83806,14.478,19.1685,0,"Primary root","4"
"null","null","c80af662-c2cc-48b1-a6f1-56d0a83e25bf","root_1","Number",4.09191,0.190132,4.98196,14.5119,19.8967,0,"Primary root","5"
"null","null","c80af662-c2cc-48b1-a6f1-56d0a83e25bf","root_1","Number",4.9419,0.161462,4.73298,14.6473,20.7095,0,"Primary root","6"
"null","null","c80af662-c2cc-48b1-a6f1-56d0a83e25bf","root_1","Length",9.57464,0,0,15.3006,24.8166,0,"Primary root","null"
"TRcd_PL10_DAT18.xml","TRcd_PL10_DAT18.xml","575606e5-f2d8-4d1a-ae6b-6223d10b8e3c","root_0","Origin",0,0,0,17.7871,14.7484,0,"Primary root","null"
"null","null","575606e5-f2d8-4d1a-ae6b-6223d10b8e3c","root_0","Number",0.833834,0.190195,5.02772,18.034,15.5279,0,"Primary root","1"
"null","null","575606e5-f2d8-4d1a-ae6b-6223d10b8e3c","root_0","Number",1.63748,0.186257,4.84494,18.2372,16.3068,0,"Primary root","2"
"null","null","575606e5-f2d8-4d1a-ae6b-6223d10b8e3c","root_0","Number",2.27498,0.181393,5.0293,18.4235,16.9164,0,"Primary root","3"
"null","null","575606e5-f2d8-4d1a-ae6b-6223d10b8e3c","root_0","Number",3.01309,0.201911,5.08266,18.6436,17.6276,0,"Primary root","4"
"null","null","575606e5-f2d8-4d1a-ae6b-6223d10b8e3c","root_0","Number",4.60327,0.168821,5.07762,19.2193,19.1008,0,"Primary root","5"
"null","null","575606e5-f2d8-4d1a-ae6b-6223d10b8e3c","root_0","Number",5.3381,0.163416,4.75491,19.3548,19.812,0,"Primary root","6"
"null","null","575606e5-f2d8-4d1a-ae6b-6223d10b8e3c","root_0","Number",6.54761,0.170876,4.74952,19.3717,21.0143,0,"Primary root","7"
"null","null","575606e5-f2d8-4d1a-ae6b-6223d10b8e3c","root_0","Length",12.5829,0,0,19.3949,26.9585,0,"Primary root","null"
"TRcd_PL1_DAT18.xml","TRcd_PL1_DAT18.xml","4e8acbdd-e728-40de-bd84-ddad751f3993","root_7","Origin",0,0,0,15.5485,22.2519,0,"Primary root","null"
"null","null","4e8acbdd-e728-40de-bd84-ddad751f3993","root_7","Length",3.87364,0,0,16.1136,25.7863,0,"Primary root","null"
