image,count,area,avg_size,%area
TRcd_PL10_DAT10.tif,8,3.805,0.476,1.063
TRcd_PL10_DAT11.tif,15,5.880,0.392,1.632
TRcd_PL10_DAT12.tif,32,6.151,0.192,1.785
TRcd_PL10_DAT13.tif,18,9.942,0.552,2.768
TRcd_PL10_DAT14.tif,17,9.997,0.588,2.814
TRcd_PL10_DAT15.tif,19,10.716,0.564,2.936
TRcd_PL10_DAT16.tif,17,11.323,0.666,3.098
TRcd_PL10_DAT17.tif,35,11.969,0.342,3.372
TRcd_PL10_DAT18.tif,23,13.495,0.587,3.871
TRcd_PL10_DAT4.tif,1,1.182,1.182,0.330
TRcd_PL10_DAT5.tif,1,1.010,1.010,0.281
TRcd_PL10_DAT6.tif,1,1.934,1.934,0.544
TRcd_PL10_DAT7.tif,5,2.535,0.507,0.633
TRcd_PL10_DAT8.tif,6,2.715,0.452,0.759
TRcd_PL10_DAT9.tif,9,3.988,0.443,1.126
TRcd_PL1_DAT10.tif,17,3.303,0.194,0.820
TRcd_PL1_DAT11.tif,8,4.913,0.614,1.213
TRcd_PL1_DAT12.tif,19,5.486,0.289,1.593
TRcd_PL1_DAT13.tif,25,6.652,0.266,1.650
TRcd_PL1_DAT14.tif,15,10.000,0.667,2.502
TRcd_PL1_DAT15 (1).tif,16,12.279,0.767,3.001
TRcd_PL1_DAT15 (2).tif,11,11.964,1.088,2.924
TRcd_PL1_DAT15 (3).tif,25,9.568,0.383,2.619
TRcd_PL1_DAT16.tif,39,9.457,0.242,2.583
TRcd_PL1_DAT17.tif,52,10.265,0.197,2.883
TRcd_PL1_DAT18.tif,30,13.632,0.454,3.466
TRcd_PL1_DAT5.tif,2,0.281,0.141,0.070
TRcd_PL1_DAT6.tif,2,0.487,0.244,0.122
TRcd_PL1_DAT7.tif,12,1.926,0.161,0.541
TRcd_PL1_DAT9.tif,20,2.785,0.139,0.698
TRcd_PL2_DAT10.tif,25,7.537,0.301,2.104
TRcd_PL2_DAT11.tif,18,10.097,0.561,2.798
TRcd_PL2_DAT12.tif,35,10.653,0.304,3.090
TRcd_PL2_DAT13.tif,17,13.245,0.779,3.679
TRcd_PL2_DAT14.tif,21,13.613,0.648,3.825
TRcd_PL2_DAT15.tif,21,13.320,0.634,3.627
TRcd_PL2_DAT17.tif,29,13.569,0.468,3.829
TRcd_PL2_DAT18.tif,24,13.913,0.580,3.962
TRcd_PL2_DAT4.tif,10,1.952,0.195,0.542
TRcd_PL2_DAT5.tif,3,2.722,0.907,0.758
