"","image","plant","surface","diameter","convexHull","das","tr"
"1","TRcd_PL15_PA_DAT10.tif",0,4.6700115,3.6660776,1.821667,10,"cadmium"
"2","TRcd_PL15_PA_DAT10.tif",1,8.930513,5.200255,0.51764417,10,"cadmium"
"3","TRcd_PL15_PA_DAT10.tif",2,8.245861,4.8040733,0.745728,10,"cadmium"
"4","TRcd_PL15_PA_DAT10.tif",3,9.051464,5.2137156,2.6519,10,"cadmium"
"5","TRcd_PL15_PA_DAT10.tif",4,7.033753,4.34268,1.5283018,10,"cadmium"
"6","TRcd_PL15_PA_DAT11.tif",0,5.9445977,3.7842596,2.0946066,11,"cadmium"
"7","TRcd_PL15_PA_DAT11.tif",1,9.969406,5.561033,0.54527855,11,"cadmium"
"8","TRcd_PL15_PA_DAT11.tif",2,9.9021225,5.204239,1.450405,11,"cadmium"
"9","TRcd_PL15_PA_DAT11.tif",3,10.710729,5.547242,3.2678666,11,"cadmium"
"10","TRcd_PL15_PA_DAT11.tif",4,8.691416,4.638942,1.6088021,11,"cadmium"
"11","TRcd_PL15_PA_DAT12.tif",0,6.8274965,4.095201,1.7043209,12,"cadmium"
"12","TRcd_PL15_PA_DAT12.tif",1,10.938212,5.8694353,0.8266287,12,"cadmium"
"13","TRcd_PL15_PA_DAT12.tif",2,10.79964,5.5415354,2.055558,12,"cadmium"
"14","TRcd_PL15_PA_DAT12.tif",3,12.333949,5.8113704,3.4881408,12,"cadmium"
"15","TRcd_PL15_PA_DAT12.tif",4,10.646649,5.1971736,2.331902,12,"cadmium"
"16","TRcd_PL15_PA_DAT13.tif",0,7.9452877,4.2639446,1.6306292,13,"cadmium"
"17","TRcd_PL15_PA_DAT13.tif",1,12.050396,6.1133385,1.192484,13,"cadmium"
"18","TRcd_PL15_PA_DAT13.tif",2,11.310275,5.8998575,2.7994838,13,"cadmium"
"19","TRcd_PL15_PA_DAT13.tif",3,14.478417,6.086765,4.1453586,13,"cadmium"
"20","TRcd_PL15_PA_DAT13.tif",4,12.662558,5.754286,1.9734559,13,"cadmium"
"21","TRcd_PL15_PA_DAT14.tif",0,9.456768,4.453682,1.2307316,14,"cadmium"
